feature,coef_OLS,coef_Ridge,coef_Lasso,lasso_selected
cgm_at_meal,92.99614922911707,74.77819829942595,76.28562383120448,True
cgm_pre_mean,-115.52665471278969,-69.67628759183552,-70.26936372686738,True
cgm_pre_std,-3.7476479872031017,-6.033205661842976,-5.12380226107504,True
cgm_pre_min,21.58567459132089,4.854669151649454,5.866544747229622,True
cgm_pre_max,28.97492831764137,19.642756728652788,17.154281526519576,True
cgm_slope_15,16.59909931454858,18.350671066477698,18.32658525132875,True
cgm_slope_30,-35.88517246140883,-29.35281474383364,-29.797923460084657,True
carbs,3.093847420803614,3.168654296671357,3.1219204791351656,True
protein,-1.6416370540785505,-1.6794244938634402,-1.6348142887065198,True
fat,-0.9273497744870004,-0.9165042825768401,-0.86035744317607,True
fiber,-0.03418360739035225,0.029113384947598717,0.0,False
hour_sin,2.406090166144849,2.450745630236442,2.301180445506214,True
hour_cos,-0.3012024568086756,-0.2721532823201277,-0.1593940347208076,True
bio_A1c PDL (Lab),4.940660236703739,5.082370644302658,4.520262432921922,True
bio_Fasting GLU - PDL (Lab),-1.507483294372779,-1.5727245961744147,-1.2273085137894653,True
bio_Insulin,3.9498192549252735,3.9951856771770666,3.8693161733035857,True
bio_BMI,-3.012591390566312,-3.121227993934169,-3.00176852709986,True
bio_Age,-0.7168286442812052,-0.7864104406872937,-0.7581843298546017,True
bio_group_encoded,-0.5968710293336945,-0.593554049333682,-0.2752204683313303,True
bio_gender_encoded,-1.611546966865385,-1.6555248427982552,-1.617279387548174,True
meal_breakfast,1.5238256427080672,1.698660332774575,1.9020648353276368,True
meal_dinner,0.03528362541484115,-0.009840881137642987,0.0,False
meal_lunch,-0.8092417171711528,-0.9043493005858937,-0.6620257727944922,True
meal_snacks,-0.80942624826159,-0.8445601369656417,-0.7470180896319973,True
