feature,coef_OLS,coef_Ridge,coef_Lasso,lasso_selected
cgm_at_meal,61.69032867859191,47.04849585392599,16.89781222914129,True
cgm_pre_mean,-95.14733202862398,-56.758921311426924,0.0,False
cgm_pre_std,7.6312037419139145,2.4505630184828426,-6.170047109068492,True
cgm_pre_min,50.11018842649391,29.77191735558044,0.754737435022809,True
cgm_pre_max,-7.00199621138459,-7.474596231954286,0.0,False
cgm_slope_15,9.730148585463022,10.981910131101769,8.80316450520978,True
cgm_slope_30,-22.457713064302148,-17.007737722992765,-2.2569328534313544,True
carbs,7.199488742992276,7.227216812128397,6.649656184519717,True
protein,-4.300176869820746,-4.295064732994093,-3.609466279900429,True
fat,-0.5454240051219709,-0.5256990425774989,-0.003847850841083407,True
fiber,-1.2940129584945492,-1.2230680606938857,-0.9323610499895507,True
hour_sin,3.166468421921851,3.1452821451943858,2.7027231714179245,True
hour_cos,0.5991184288420959,0.619190233983347,0.0,False
bio_A1c PDL (Lab),12.503558698229352,12.553180144283763,9.489807060514968,True
bio_Fasting GLU - PDL (Lab),10.596479914852887,10.540928925391809,11.385931644845513,True
bio_Insulin,2.519980094684141,2.5454826653845535,1.4634921176412952,True
bio_BMI,-2.2452745466363955,-2.323696818830091,-1.3486158343177084,True
bio_Age,-0.673706446509812,-0.7458990040727566,-0.3168266155345841,True
bio_group_encoded,-2.4446332830206066,-2.358509536850672,-0.0,False
bio_gender_encoded,0.1612473222032272,0.1420404409215422,-0.0,False
meal_breakfast,1.2228263109184287,1.3724750403676447,1.81646242316493,True
meal_dinner,-0.012851541470966005,-0.045575097531960575,0.0,False
meal_lunch,0.8079104620754503,0.6981706240237097,-0.0,False
meal_snacks,-2.1806339807339485,-2.186726531147104,-1.5368081957292732,True
