,precision,recall,f1-score,support
normal,0.9365815931941222,0.9105263157894737,0.9233701868089973,1330.0
hyper,0.7076167076167076,0.7783783783783784,0.7413127413127413,370.0
accuracy,0.8817647058823529,0.8817647058823529,0.8817647058823529,0.8817647058823529
macro avg,0.8220991504054149,0.844452347083926,0.8323414640608693,1700.0
weighted avg,0.8867480592743319,0.8817647058823529,0.8837459192598122,1700.0
