,precision,recall,f1-score,support
normal,0.8782755705832629,0.862240663900415,0.8701842546063652,1205.0
hyper,0.6789168278529981,0.7090909090909091,0.6936758893280632,495.0
accuracy,0.8176470588235294,0.8176470588235294,0.8176470588235294,0.8176470588235294
macro avg,0.7785961992181305,0.785665786495662,0.7819300719672142,1700.0
weighted avg,0.8202269954941563,0.8176470588235294,0.8187891717753302,1700.0
