,precision,recall,f1-score,support
normal,0.8982188295165394,0.8533440773569702,0.8752066115702479,1241.0
hyper,0.65,0.7379912663755459,0.6912065439672802,458.0
accuracy,0.822248381400824,0.822248381400824,0.822248381400824,0.822248381400824
macro avg,0.7741094147582697,0.7956676718662581,0.783206577768764,1699.0
weighted avg,0.831306396368467,0.822248381400824,0.8256056516160636,1699.0
