,precision,recall,f1-score,support
normal,0.96,0.8773800456968773,0.9168324711500199,1313.0
hyper,0.6552462526766595,0.864406779661017,0.7454323995127893,354.0
accuracy,0.874625074985003,0.874625074985003,0.874625074985003,0.874625074985003
macro avg,0.8076231263383298,0.8708934126789472,0.8311324353314046,1667.0
weighted avg,0.8952832474190388,0.874625074985003,0.8804343755533913,1667.0
