,precision,recall,f1-score,support
normal,0.8979400749063671,0.7991666666666667,0.845679012345679,1200.0
hyper,0.5976627712854758,0.7665952890792291,0.6716697936210131,467.0
accuracy,0.7900419916016796,0.7900419916016796,0.7900419916016796,0.7900419916016796
macro avg,0.7478014230959215,0.782880977872948,0.7586744029833461,1667.0
weighted avg,0.8138191986070533,0.7900419916016796,0.7969313787857395,1667.0
