,precision,recall,f1-score,support
normal,0.9003656307129799,0.7975708502024291,0.8458565908115071,1235.0
hyper,0.5629370629370629,0.7470997679814385,0.6420737786640079,431.0
accuracy,0.7845138055222088,0.7845138055222088,0.7845138055222088,0.7845138055222088
macro avg,0.7316513468250214,0.7723353090919338,0.7439651847377575,1666.0
weighted avg,0.8130716855080459,0.7845138055222088,0.7931372678609837,1666.0
