,precision,recall,f1-score,support
normal,0.8564058469475494,0.8265560165975103,0.8412162162162162,1205.0
hyper,0.6108007448789572,0.6626262626262627,0.6356589147286822,495.0
accuracy,0.7788235294117647,0.7788235294117647,0.7788235294117647,0.7788235294117647
macro avg,0.7336032959132532,0.7445911396118865,0.7384375654724492,1700.0
weighted avg,0.7848914201687535,0.7788235294117647,0.7813627666654342,1700.0
