,precision,recall,f1-score,support
normal,0.9118198874296435,0.7832393231265109,0.8426527958387516,1241.0
hyper,0.5750394944707741,0.7947598253275109,0.6672777268560953,458.0
accuracy,0.7863449087698646,0.7863449087698646,0.7863449087698646,0.7863449087698646
macro avg,0.7434296909502087,0.7889995742270108,0.7549652613474235,1699.0
weighted avg,0.8210338839127734,0.7863449087698646,0.795376879656258,1699.0
