,precision,recall,f1-score,support
normal,0.9367816091954023,0.8578947368421053,0.8956043956043956,1330.0
hyper,0.6078838174273858,0.7918918918918919,0.687793427230047,370.0
accuracy,0.8435294117647059,0.8435294117647059,0.8435294117647059,0.8435294117647059
macro avg,0.7723327133113941,0.8248933143669985,0.7916989114172213,1700.0
weighted avg,0.8651979721635399,0.8435294117647059,0.8503749495464491,1700.0
